date,symbol,k_pred_ret,k_up_prob,k_pred_vol,turnover,pct_chg,amplitude,label_fwd_ret_5d
2018-07-16,300308,0.015208356734011072,0.6666666666666666,0.028216520187388155,2.53,2.4,6.62,0.0560712959524694
2018-07-17,300308,-0.00872728319683939,0.3333333333333333,0.044359921750673874,1.4,1.89,4.68,0.05685131195335269
2018-07-18,300308,-0.006303313638077346,0.6666666666666666,0.054173778496219654,1.59,-3.02,6.41,0.07966929725667038
2018-07-19,300308,0.030170608400089005,0.6666666666666666,0.05292099311642331,1.43,2.56,4.32,-0.010626603151337455
2018-07-20,300308,0.029541175910313244,0.6666666666666666,0.051754762798833,1.62,-0.95,5.57,0.03810580836108013
2018-07-23,300308,0.00485549665200069,0.3333333333333333,0.054451528404308336,2.57,5.22,7.62,-0.1216596343178622
2018-07-24,300308,0.06107740406692719,0.6666666666666666,0.06790981023932424,1.8,1.97,7.28,-0.17448275862068963
2018-07-25,300308,0.0001739852729884713,0.3333333333333333,0.06249266845417398,1.76,-0.93,4.34,-0.18621649843369303
2018-07-26,300308,-0.03501222271669735,0.3333333333333333,0.07500064553839099,2.18,-6.02,7.87,-0.2248148148148148
2018-07-27,300308,-0.045569219706970955,0.0,0.038315045725212965,2.54,3.93,6.26,-0.27512473271560933
2018-07-30,300308,-0.07223567115238079,0.0,0.04643294409972542,2.54,-10.98,13.44,-0.21697357886309054
2018-07-31,300308,0.04349768572181967,1.0,0.031325414594879204,1.87,-4.16,4.76,-0.16165413533834594
2018-08-01,300308,0.07050584704389277,0.6666666666666666,0.07384808827397804,2.16,-2.34,6.56,-0.12232677502138578
2018-08-02,300308,0.11066482670122928,1.0,0.021090219838054033,3.87,-10.48,11.98,0.03583373148590541
2018-08-03,300308,0.1658172923338833,1.0,0.08075505825511908,2.98,-2.82,10.03,0.08161258603736488
2018-08-06,300308,0.17898342141320533,1.0,0.05263871502501282,1.86,-3.83,6.15,0.166155419222904
2018-08-07,300308,0.19734317490903405,1.0,0.03378498595237877,1.56,2.61,6.08,0.13552566018933732
2018-08-08,300308,0.09789980901196398,1.0,0.04874062445354349,2.55,2.24,8.47,0.04970760233918137
2018-08-09,300308,0.11316602829604124,1.0,0.05129228333137889,2.77,5.65,12.18,0.02306273062730635
2018-08-10,300308,0.05501059969706146,0.6666666666666666,0.06420685685380402,2.1,1.48,5.35,0.01909090909090927
